,date,unidad
4959,2022-08-03 15:00:00,1
4960,2022-08-03 15:02:13,1
4961,2022-08-03 17:00:00,15
4962,2022-08-03 20:00:00,7
4963,2022-08-03 22:00:00,36
4964,2022-08-03 23:00:00,74
4965,2022-08-04 15:00:00,1
4966,2022-08-04 15:43:53,23
4967,2022-08-04 16:00:00,30
4968,2022-08-04 17:00:00,32
4969,2022-08-04 20:00:00,1
4970,2022-08-04 22:00:00,3
4971,2022-08-04 23:00:00,86
4972,2022-08-05 14:56:41,18
4973,2022-08-05 15:00:00,3
4974,2022-08-05 17:00:00,22
4975,2022-08-05 20:00:00,2
4976,2022-08-05 22:00:00,9
4977,2022-08-05 23:00:00,69
4978,2022-08-07 15:00:00,1
4979,2022-08-08 13:27:03,2
4980,2022-08-08 14:57:13,44
4981,2022-08-08 17:00:00,11
4982,2022-08-08 22:00:00,18
4983,2022-08-08 23:00:00,136
4984,2022-08-09 14:54:32,19
4985,2022-08-09 15:00:00,3
4986,2022-08-09 16:00:00,58
4987,2022-08-09 17:00:00,14
4988,2022-08-09 20:00:00,17
4989,2022-08-09 22:00:00,80
4990,2022-08-09 23:00:00,153
4991,2022-08-10 00:00:00,15
4992,2022-08-10 14:24:24,18
4993,2022-08-10 14:41:59,1
4994,2022-08-10 17:00:00,13
4995,2022-08-10 20:00:00,15
4996,2022-08-10 22:00:00,8
4997,2022-08-10 23:00:00,65
4998,2022-08-11 14:04:20,28
4999,2022-08-11 17:00:00,15
5000,2022-08-11 20:00:00,3
5001,2022-08-11 23:00:00,41
5002,2022-08-12 00:00:00,2
5003,2022-08-12 14:26:25,20
5004,2022-08-12 16:00:00,22
5005,2022-08-12 17:00:00,5
5006,2022-08-12 20:00:00,17
5007,2022-08-12 22:00:00,5
5008,2022-08-12 23:00:00,184
5009,2022-08-14 15:00:00,2
5010,2022-08-16 00:00:00,6
5011,2022-08-16 09:21:14,1
5012,2022-08-16 09:30:35,22
5013,2022-08-16 15:00:00,3
5014,2022-08-16 17:00:00,17
